time iter num.topics num.tables likelihood gamma alpha split merge trial
    6.00 00000 0054 189130 -4941352.58105 1.00000 1.00000 0 0 0
   12.00 00001 0054 173587 -4702928.98386 1.00000 1.00000 0 0 0
   19.00 00002 0053 165554 -4543530.34860 1.00000 1.00000 0 0 0
   25.00 00003 0053 161861 -4442335.73911 1.00000 1.00000 0 0 0
   31.00 00004 0053 160630 -4374396.49478 1.00000 1.00000 0 0 0
   37.00 00005 0055 160178 -4327963.91015 1.00000 1.00000 0 0 0
   43.00 00006 0054 159924 -4289695.23963 1.00000 1.00000 0 0 0
   49.00 00007 0054 160040 -4260830.16040 1.00000 1.00000 0 0 0
   55.00 00008 0053 159879 -4235514.88877 1.00000 1.00000 0 0 0
   61.00 00009 0053 159849 -4214736.07407 1.00000 1.00000 0 0 0
   67.00 00010 0054 159764 -4197653.49549 1.00000 1.00000 0 0 0
   73.00 00011 0053 159954 -4184953.74173 1.00000 1.00000 0 0 0
   79.00 00012 0054 159910 -4169750.10280 1.00000 1.00000 0 0 0
   85.00 00013 0055 159746 -4159411.60016 1.00000 1.00000 0 0 0
   92.00 00014 0054 159561 -4149332.23283 1.00000 1.00000 0 0 0
   98.00 00015 0053 159691 -4140720.66867 1.00000 1.00000 0 0 0
  104.00 00016 0055 159725 -4135397.55814 1.00000 1.00000 0 0 0
  110.00 00017 0057 159709 -4127557.82308 1.00000 1.00000 0 0 0
  117.00 00018 0055 159506 -4119995.35399 1.00000 1.00000 0 0 0
  123.00 00019 0055 159364 -4113780.41683 1.00000 1.00000 0 0 0
  129.00 00020 0054 159455 -4110247.25940 1.00000 1.00000 0 0 0
  135.00 00021 0055 159716 -4107386.83062 1.00000 1.00000 0 0 0
  142.00 00022 0055 159529 -4102847.22422 1.00000 1.00000 0 0 0
  148.00 00023 0054 159721 -4101218.22373 1.00000 1.00000 0 0 0
  154.00 00024 0054 159866 -4096216.13484 1.00000 1.00000 0 0 0
  160.00 00025 0054 159812 -4092774.92265 1.00000 1.00000 0 0 0
  167.00 00026 0055 159801 -4091747.07537 1.00000 1.00000 0 0 0
  173.00 00027 0055 160011 -4088390.94667 1.00000 1.00000 0 0 0
  179.00 00028 0055 160087 -4085536.19178 1.00000 1.00000 0 0 0
  185.00 00029 0055 159919 -4081606.83677 1.00000 1.00000 0 0 0
  192.00 00030 0056 159903 -4079523.83355 1.00000 1.00000 0 0 0
  198.00 00031 0054 159878 -4076266.35165 1.00000 1.00000 0 0 0
  204.00 00032 0054 159579 -4072686.10604 1.00000 1.00000 0 0 0
  210.00 00033 0055 159703 -4070957.05462 1.00000 1.00000 0 0 0
  217.00 00034 0056 159842 -4070918.88420 1.00000 1.00000 0 0 0
  223.00 00035 0055 159940 -4070777.79885 1.00000 1.00000 0 0 0
  229.00 00036 0054 159830 -4066099.73786 1.00000 1.00000 0 0 0
  236.00 00037 0054 160062 -4065953.21143 1.00000 1.00000 0 0 0
  242.00 00038 0055 160016 -4064679.79278 1.00000 1.00000 0 0 0
  248.00 00039 0055 159549 -4060674.66378 1.00000 1.00000 0 0 0
  254.00 00040 0054 159578 -4061848.11707 1.00000 1.00000 0 0 0
  260.00 00041 0054 159368 -4060314.38802 1.00000 1.00000 0 0 0
  266.00 00042 0054 159481 -4058736.29811 1.00000 1.00000 0 0 0
  272.00 00043 0054 159397 -4058268.27632 1.00000 1.00000 0 0 0
  279.00 00044 0054 159243 -4055855.67602 1.00000 1.00000 0 0 0
  285.00 00045 0054 159381 -4056390.19030 1.00000 1.00000 0 0 0
  291.00 00046 0055 159383 -4055993.79299 1.00000 1.00000 0 0 0
  297.00 00047 0054 159508 -4053998.85609 1.00000 1.00000 0 0 0
  303.00 00048 0054 159105 -4049621.62352 1.00000 1.00000 0 0 0
  309.00 00049 0054 159317 -4048869.24650 1.00000 1.00000 0 0 0
  315.00 00050 0054 159096 -4047583.74222 1.00000 1.00000 0 0 0
  321.00 00051 0055 159011 -4046408.24935 1.00000 1.00000 0 0 0
  328.00 00052 0055 159306 -4048362.81534 1.00000 1.00000 0 0 0
  334.00 00053 0055 158829 -4044130.40741 1.00000 1.00000 0 0 0
  340.00 00054 0054 159282 -4044717.79531 1.00000 1.00000 0 0 0
  346.00 00055 0055 159231 -4045699.32160 1.00000 1.00000 0 0 0
  352.00 00056 0055 159118 -4044252.82066 1.00000 1.00000 0 0 0
  358.00 00057 0055 159089 -4043170.30599 1.00000 1.00000 0 0 0
  364.00 00058 0054 159040 -4043176.36960 1.00000 1.00000 0 0 0
  370.00 00059 0054 158930 -4041437.99978 1.00000 1.00000 0 0 0
  376.00 00060 0054 158733 -4040140.00673 1.00000 1.00000 0 0 0
  382.00 00061 0054 159047 -4041382.23558 1.00000 1.00000 0 0 0
  388.00 00062 0056 159000 -4038628.95899 1.00000 1.00000 0 0 0
  395.00 00063 0054 158821 -4038218.85317 1.00000 1.00000 0 0 0
  401.00 00064 0056 159071 -4038592.19318 1.00000 1.00000 0 0 0
  407.00 00065 0055 159142 -4037499.29592 1.00000 1.00000 0 0 0
  413.00 00066 0055 159380 -4036596.02914 1.00000 1.00000 0 0 0
  419.00 00067 0056 159481 -4036803.06445 1.00000 1.00000 0 0 0
  426.00 00068 0056 159308 -4038848.98377 1.00000 1.00000 0 0 0
  432.00 00069 0054 159125 -4035176.64690 1.00000 1.00000 0 0 0
  438.00 00070 0055 159165 -4034842.32487 1.00000 1.00000 0 0 0
  444.00 00071 0056 159208 -4036513.87639 1.00000 1.00000 0 0 0
  450.00 00072 0056 159294 -4036718.92004 1.00000 1.00000 0 0 0
  457.00 00073 0055 159291 -4035665.83983 1.00000 1.00000 0 0 0
  463.00 00074 0054 159535 -4036771.14157 1.00000 1.00000 0 0 0
  469.00 00075 0055 159466 -4034570.40100 1.00000 1.00000 0 0 0
  475.00 00076 0055 159282 -4031450.92790 1.00000 1.00000 0 0 0
  481.00 00077 0056 159467 -4033674.63081 1.00000 1.00000 0 0 0
  487.00 00078 0055 159467 -4031147.38889 1.00000 1.00000 0 0 0
  493.00 00079 0056 159240 -4030506.88358 1.00000 1.00000 0 0 0
  500.00 00080 0056 159147 -4029373.62698 1.00000 1.00000 0 0 0
  506.00 00081 0055 158980 -4027664.53857 1.00000 1.00000 0 0 0
  512.00 00082 0054 159010 -4029569.25120 1.00000 1.00000 0 0 0
  518.00 00083 0054 159040 -4029616.21648 1.00000 1.00000 0 0 0
  524.00 00084 0055 159011 -4029161.36882 1.00000 1.00000 0 0 0
  530.00 00085 0055 158970 -4028511.53181 1.00000 1.00000 0 0 0
  536.00 00086 0056 158668 -4025083.37941 1.00000 1.00000 0 0 0
  542.00 00087 0054 158932 -4026927.95594 1.00000 1.00000 0 0 0
  548.00 00088 0055 159129 -4026823.18571 1.00000 1.00000 0 0 0
  554.00 00089 0056 158933 -4023477.10861 1.00000 1.00000 0 0 0
  561.00 00090 0054 158743 -4023614.16182 1.00000 1.00000 0 0 0
  567.00 00091 0055 158682 -4023835.94206 1.00000 1.00000 0 0 0
  573.00 00092 0054 158804 -4022852.97576 1.00000 1.00000 0 0 0
  579.00 00093 0055 158969 -4025692.46109 1.00000 1.00000 0 0 0
  585.00 00094 0055 158668 -4024038.55479 1.00000 1.00000 0 0 0
  591.00 00095 0054 158902 -4026094.59873 1.00000 1.00000 0 0 0
  597.00 00096 0054 158804 -4024277.80795 1.00000 1.00000 0 0 0
  602.00 00097 0054 158689 -4023801.14465 1.00000 1.00000 0 0 0
  608.00 00098 0057 158675 -4022511.63854 1.00000 1.00000 0 0 0
  615.00 00099 0056 158612 -4021712.61572 1.00000 1.00000 0 0 0
  621.00 00100 0054 158688 -4020428.53726 1.00000 1.00000 0 0 0
  627.00 00101 0054 158746 -4020735.22679 1.00000 1.00000 0 0 0
  633.00 00102 0055 159376 -4024751.60766 1.00000 1.00000 0 0 0
  639.00 00103 0055 159428 -4024738.21091 1.00000 1.00000 0 0 0
  645.00 00104 0055 159254 -4024599.25569 1.00000 1.00000 0 0 0
  651.00 00105 0054 159124 -4025933.15052 1.00000 1.00000 0 0 0
  657.00 00106 0054 158920 -4023923.98142 1.00000 1.00000 0 0 0
  663.00 00107 0055 158892 -4023341.79596 1.00000 1.00000 0 0 0
  669.00 00108 0054 158957 -4022209.95963 1.00000 1.00000 0 0 0
  675.00 00109 0054 159066 -4023828.32487 1.00000 1.00000 0 0 0
  681.00 00110 0054 158994 -4023174.41655 1.00000 1.00000 0 0 0
  687.00 00111 0055 159224 -4024086.71529 1.00000 1.00000 0 0 0
  693.00 00112 0056 158950 -4022798.87541 1.00000 1.00000 0 0 0
  699.00 00113 0055 158742 -4020894.52578 1.00000 1.00000 0 0 0
  705.00 00114 0054 159152 -4022031.03514 1.00000 1.00000 0 0 0
  711.00 00115 0054 159118 -4020575.56302 1.00000 1.00000 0 0 0
  717.00 00116 0055 159215 -4021157.79659 1.00000 1.00000 0 0 0
  723.00 00117 0055 159363 -4021643.09951 1.00000 1.00000 0 0 0
  729.00 00118 0055 159089 -4020055.96923 1.00000 1.00000 0 0 0
  735.00 00119 0054 159183 -4023140.76452 1.00000 1.00000 0 0 0
  741.00 00120 0054 158899 -4020185.48149 1.00000 1.00000 0 0 0
  747.00 00121 0054 158946 -4020564.62569 1.00000 1.00000 0 0 0
  753.00 00122 0054 159292 -4021203.08707 1.00000 1.00000 0 0 0
  759.00 00123 0054 159147 -4018801.29111 1.00000 1.00000 0 0 0
  765.00 00124 0054 159310 -4019425.72265 1.00000 1.00000 0 0 0
  771.00 00125 0054 159354 -4019215.16410 1.00000 1.00000 0 0 0
  777.00 00126 0054 158755 -4017155.87963 1.00000 1.00000 0 0 0
  783.00 00127 0057 158584 -4016676.87216 1.00000 1.00000 0 0 0
  789.00 00128 0055 158915 -4018383.35153 1.00000 1.00000 0 0 0
  795.00 00129 0054 158554 -4017438.51621 1.00000 1.00000 0 0 0
  801.00 00130 0055 158424 -4015564.15965 1.00000 1.00000 0 0 0
  808.00 00131 0055 158502 -4015524.33845 1.00000 1.00000 0 0 0
  814.00 00132 0056 158644 -4017888.00893 1.00000 1.00000 0 0 0
  820.00 00133 0055 158869 -4017432.49952 1.00000 1.00000 0 0 0
  826.00 00134 0055 158940 -4015084.93096 1.00000 1.00000 0 0 0
  832.00 00135 0054 158734 -4014213.36807 1.00000 1.00000 0 0 0
  838.00 00136 0054 158822 -4015768.00647 1.00000 1.00000 0 0 0
  844.00 00137 0054 158749 -4014313.51448 1.00000 1.00000 0 0 0
  850.00 00138 0055 158920 -4017189.72162 1.00000 1.00000 0 0 0
  856.00 00139 0054 158988 -4015638.41083 1.00000 1.00000 0 0 0
  862.00 00140 0056 158706 -4014327.90248 1.00000 1.00000 0 0 0
  868.00 00141 0054 158502 -4013198.40907 1.00000 1.00000 0 0 0
  874.00 00142 0056 158442 -4012970.45878 1.00000 1.00000 0 0 0
  881.00 00143 0055 158761 -4013592.56310 1.00000 1.00000 0 0 0
  887.00 00144 0054 158721 -4013719.27909 1.00000 1.00000 0 0 0
  893.00 00145 0054 158409 -4012741.56777 1.00000 1.00000 0 0 0
  899.00 00146 0056 158792 -4013397.07324 1.00000 1.00000 0 0 0
  905.00 00147 0057 158480 -4011868.52818 1.00000 1.00000 0 0 0
  911.00 00148 0055 158606 -4012819.94195 1.00000 1.00000 0 0 0
  918.00 00149 0055 158717 -4015092.94787 1.00000 1.00000 0 0 0
  924.00 00150 0055 158739 -4012460.57569 1.00000 1.00000 0 0 0
  930.00 00151 0055 158802 -4013138.59607 1.00000 1.00000 0 0 0
  936.00 00152 0056 158826 -4015141.65438 1.00000 1.00000 0 0 0
  942.00 00153 0056 158654 -4013720.32604 1.00000 1.00000 0 0 0
  948.00 00154 0054 158958 -4014087.02838 1.00000 1.00000 0 0 0
  954.00 00155 0054 158861 -4015132.25449 1.00000 1.00000 0 0 0
  960.00 00156 0055 158872 -4015150.03841 1.00000 1.00000 0 0 0
  966.00 00157 0054 158700 -4014465.64922 1.00000 1.00000 0 0 0
  972.00 00158 0054 158693 -4012049.96062 1.00000 1.00000 0 0 0
  978.00 00159 0054 158736 -4014071.42202 1.00000 1.00000 0 0 0
  984.00 00160 0054 158681 -4012558.21919 1.00000 1.00000 0 0 0
  990.00 00161 0054 158755 -4013619.75982 1.00000 1.00000 0 0 0
  995.00 00162 0054 158798 -4014442.21344 1.00000 1.00000 0 0 0
 1002.00 00163 0057 158548 -4015291.12466 1.00000 1.00000 0 0 0
 1008.00 00164 0056 158613 -4015140.12482 1.00000 1.00000 0 0 0
 1014.00 00165 0055 158649 -4015393.98327 1.00000 1.00000 0 0 0
 1020.00 00166 0055 158941 -4017745.11648 1.00000 1.00000 0 0 0
 1026.00 00167 0055 158905 -4014427.95726 1.00000 1.00000 0 0 0
 1032.00 00168 0054 158581 -4012549.78070 1.00000 1.00000 0 0 0
 1038.00 00169 0054 158869 -4012682.88926 1.00000 1.00000 0 0 0
 1044.00 00170 0054 158567 -4010621.92964 1.00000 1.00000 0 0 0
 1050.00 00171 0055 158910 -4012014.39559 1.00000 1.00000 0 0 0
 1056.00 00172 0056 159020 -4013815.43565 1.00000 1.00000 0 0 0
 1062.00 00173 0058 159140 -4014002.19183 1.00000 1.00000 0 0 0
 1069.00 00174 0057 158792 -4011627.66821 1.00000 1.00000 0 0 0
 1075.00 00175 0056 159110 -4012988.14047 1.00000 1.00000 0 0 0
 1081.00 00176 0054 159072 -4011357.31453 1.00000 1.00000 0 0 0
 1087.00 00177 0055 158869 -4011591.86231 1.00000 1.00000 0 0 0
 1093.00 00178 0055 158784 -4011614.96019 1.00000 1.00000 0 0 0
 1099.00 00179 0056 158802 -4011141.99335 1.00000 1.00000 0 0 0
 1105.00 00180 0055 158749 -4010089.57575 1.00000 1.00000 0 0 0
 1111.00 00181 0055 158669 -4010520.30595 1.00000 1.00000 0 0 0
 1117.00 00182 0055 158721 -4009524.22648 1.00000 1.00000 0 0 0
 1123.00 00183 0055 158815 -4011874.26789 1.00000 1.00000 0 0 0
 1129.00 00184 0055 158609 -4013034.35771 1.00000 1.00000 0 0 0
 1136.00 00185 0056 158793 -4016030.24040 1.00000 1.00000 0 0 0
 1142.00 00186 0055 159025 -4015801.62861 1.00000 1.00000 0 0 0
 1148.00 00187 0055 158753 -4013948.72395 1.00000 1.00000 0 0 0
 1154.00 00188 0057 158851 -4014004.12136 1.00000 1.00000 0 0 0
 1160.00 00189 0055 158995 -4013095.46487 1.00000 1.00000 0 0 0
 1166.00 00190 0056 159059 -4015156.36970 1.00000 1.00000 0 0 0
 1172.00 00191 0055 158720 -4013189.97675 1.00000 1.00000 0 0 0
 1178.00 00192 0055 158883 -4013087.49400 1.00000 1.00000 0 0 0
 1184.00 00193 0055 159173 -4015104.06621 1.00000 1.00000 0 0 0
 1190.00 00194 0055 159154 -4013766.69619 1.00000 1.00000 0 0 0
 1196.00 00195 0055 158914 -4012104.27615 1.00000 1.00000 0 0 0
 1202.00 00196 0055 158787 -4011061.21257 1.00000 1.00000 0 0 0
 1208.00 00197 0055 158576 -4011272.57609 1.00000 1.00000 0 0 0
 1214.00 00198 0055 158572 -4010552.45423 1.00000 1.00000 0 0 0
 1220.00 00199 0055 158393 -4009440.92899 1.00000 1.00000 0 0 0
 1227.00 00200 0057 158617 -4009687.47244 1.00000 1.00000 0 0 0
 1233.00 00201 0055 158320 -4009058.38134 1.00000 1.00000 0 0 0
 1239.00 00202 0055 158606 -4010063.08596 1.00000 1.00000 0 0 0
 1245.00 00203 0055 158291 -4009405.61481 1.00000 1.00000 0 0 0
 1251.00 00204 0055 158518 -4009660.35696 1.00000 1.00000 0 0 0
 1257.00 00205 0055 158778 -4012537.33621 1.00000 1.00000 0 0 0
 1263.00 00206 0055 158532 -4009720.95536 1.00000 1.00000 0 0 0
 1269.00 00207 0056 158585 -4010786.73065 1.00000 1.00000 0 0 0
 1275.00 00208 0055 158611 -4010754.62714 1.00000 1.00000 0 0 0
 1281.00 00209 0056 158655 -4011123.46755 1.00000 1.00000 0 0 0
 1288.00 00210 0055 158413 -4009453.58983 1.00000 1.00000 0 0 0
 1294.00 00211 0055 158007 -4005863.54744 1.00000 1.00000 0 0 0
 1300.00 00212 0055 158436 -4009862.55664 1.00000 1.00000 0 0 0
 1306.00 00213 0055 158383 -4008267.91028 1.00000 1.00000 0 0 0
 1312.00 00214 0055 158729 -4010680.57856 1.00000 1.00000 0 0 0
 1318.00 00215 0056 158689 -4009073.64408 1.00000 1.00000 0 0 0
 1324.00 00216 0055 158202 -4009083.19963 1.00000 1.00000 0 0 0
 1330.00 00217 0054 158068 -4007753.04320 1.00000 1.00000 0 0 0
 1336.00 00218 0055 158104 -4008331.10837 1.00000 1.00000 0 0 0
 1342.00 00219 0056 158376 -4009039.53967 1.00000 1.00000 0 0 0
 1348.00 00220 0055 158518 -4008573.82779 1.00000 1.00000 0 0 0
 1354.00 00221 0055 158370 -4007508.81254 1.00000 1.00000 0 0 0
 1360.00 00222 0056 158559 -4008855.21238 1.00000 1.00000 0 0 0
 1366.00 00223 0055 158302 -4007456.60218 1.00000 1.00000 0 0 0
 1372.00 00224 0054 158392 -4006656.06593 1.00000 1.00000 0 0 0
 1378.00 00225 0055 158229 -4007496.02809 1.00000 1.00000 0 0 0
 1384.00 00226 0055 158451 -4010293.05389 1.00000 1.00000 0 0 0
